no,flag
11950,0.030890867
16240,0.060325194
7807,0.14655791
5233,0.079700254
10367,0.13343374
5764,0.042278364
4815,0.038414206
8518,0.07532919
4215,0.06839327
10607,0.06555772
17435,0.07887627
8369,0.06453617
17248,0.102159
7698,0.04387918
1432,0.15337782
1997,0.24124229
7744,0.20310026
7081,0.10408255
9158,0.15034455
14314,0.03579265
1458,0.08061514
8051,0.069342025
1135,0.102951504
15944,0.03846122
12153,0.049631674
9454,0.08168058
7027,0.048450623
14107,0.07041353
2134,0.03700532
14445,0.057650905
7570,0.21917778
15900,0.036694657
8236,0.047836505
35,0.06248484
8602,0.075223505
5972,0.054576244
9392,0.04562519
14014,0.11416549
8358,0.039349813
9966,0.08061514
7771,0.075223505
6171,0.101131484
8566,0.075223505
10482,0.075223505
2794,0.0648821
15199,0.051650394
10598,0.07887627
826,0.08078341
3332,0.046196397
1103,0.045019947
5712,0.13131775
6957,0.031049311
11954,0.059916314
9413,0.0776678
16386,0.19817042
11466,0.079019725
11244,0.075223505
7598,0.066452764
12485,0.050453223
15639,0.016615765
15973,0.049477473
5774,0.06362366
7498,0.08061514
5685,0.055940814
3378,0.09041945
4621,0.056003917
16081,0.03586292
7249,0.07237948
13895,0.079948775
15727,0.045392133
6201,0.045380708
1645,0.08102774
1698,0.07887627
280,0.08219017
14967,0.069918565
217,0.10165577
164,0.047588993
12686,0.016760515
15673,0.11202188
14482,0.2806654
10042,0.06472973
5132,0.02795063
7952,0.20178975
6463,0.07532919
1046,0.05445355
4709,0.07532919
970,0.075223505
13955,0.028155133
16128,0.07887627
15870,0.16769929
15012,0.048674565
2023,0.08061514
10295,0.022581786
7808,0.029350324
1072,0.076093934
9909,0.03403896
16601,0.042945947
10266,0.037574943
5050,0.048674565
1294,0.07299039
8257,0.14412783
12989,0.06516899
9855,0.075223505
6730,0.1092653
17236,0.06942568
6722,0.088733524
16549,0.15743767
12130,0.028312467
16435,0.075223505
14055,0.025671793
3519,0.035492886
8178,0.075223505
4328,0.039822496
4276,0.07230933
14051,0.1739711
2078,0.027137887
7816,0.01664845
14777,0.021149244
10917,0.04802638
3179,0.056004636
9690,0.0834047
11790,0.045333415
1267,0.038198818
16224,0.04378345
9166,0.06818129
931,0.062896065
17037,0.086367376
17357,0.050792124
5196,0.075223505
994,0.037258707
15882,0.075223505
14423,0.035730563
16728,0.026412023
10342,0.05015304
2536,0.044075873
9998,0.07369521
12603,0.07887627
13904,0.07786227
13072,0.0673433
2867,0.075223505
8767,0.075223505
3997,0.06910785
11171,0.08142878
16069,0.07369521
15563,0.07655448
15439,0.063848734
7605,0.0526816
9950,0.17728162
8093,0.07880037
16461,0.03327329
15624,0.0776678
1533,0.075223505
5156,0.07887627
11783,0.056477964
3647,0.10168322
1586,0.035809115
477,0.07369521
12456,0.17392701
676,0.075223505
14117,0.06664951
15420,0.06839327
6780,0.048767883
55,0.032389406
14565,0.07532919
11910,0.07460766
12030,0.17746773
3287,0.064798154
16213,0.10389455
12387,0.018742373
1706,0.0776678
7859,0.058333185
9808,0.08579967
11952,0.040957097
11692,0.03276865
6813,0.07262558
11978,0.1700713
5644,0.09379373
16648,0.0686614
9823,0.047588993
13376,0.18181519
2992,0.025214072
8128,0.021818098
5742,0.115444
15309,0.048939146
10506,0.07688856
5801,0.060933366
38,0.07750513
8860,0.044937354
6936,0.07688856
17131,0.047707647
1721,0.0584147
15137,0.04918144
5049,0.13698705
4783,0.11324251
16760,0.06468773
5314,0.032341633
16888,0.052906472
15902,0.020472538
16358,0.07688856
1577,0.061930783
9617,0.07068057
13094,0.083929844
356,0.05690243
2186,0.029874092
2616,0.082488075
12781,0.07926346
14546,0.046603378
226,0.09185642
3029,0.04119361
8936,0.083094746
4974,0.065154426
5445,0.06487362
17322,0.047588993
2238,0.11167105
3251,0.097617775
16875,0.039012007
12879,0.038387705
9963,0.038754925
7419,0.04969447
11194,0.033191107
9794,0.07369521
11141,0.048938036
6527,0.07369521
2472,0.044075873
2544,0.07204099
1841,0.05723257
7663,0.06420274
3330,0.051981438
3516,0.076093934
3724,0.0776678
9023,0.075223505
14797,0.08675815
14491,0.048641387
16179,0.0802947
4253,0.042918272
15253,0.0776678
11226,0.038647357
15513,0.05072398
10356,0.052394625
14815,0.03395087
5250,0.043656424
17278,0.042481028
172,0.07653641
15172,0.048908904
3641,0.039147682
11679,0.07476986
9180,0.040742226
2013,0.066617
8001,0.031211395
15648,0.07887627
494,0.029997868
15078,0.046563003
12785,0.07688856
9043,0.035573
12468,0.023474094
15704,0.076093934
8667,0.07688856
12530,0.05681353
15248,0.078492306
10020,0.10037581
10973,0.041765723
8027,0.07124842
463,0.07369521
11723,0.06791035
8374,0.07532919
15350,0.075223505
12845,0.09712277
17072,0.076093934
137,0.045085095
4440,0.03666924
11198,0.06791035
8984,0.08017421
12476,0.02873854
16990,0.07369521
1678,0.13047534
11889,0.05807263
1579,0.048299693
17091,0.07887627
3778,0.07655448
7397,0.07653641
14551,0.062037032
14479,0.09296571
9005,0.03677209
14769,0.025470551
890,0.035835847
13637,0.06655362
11582,0.026056673
7774,0.07653641
3715,0.07688856
9831,0.05951435
5762,0.091182046
13926,0.081107914
1663,0.025471712
9511,0.06910785
7320,0.111155555
17025,0.034562524
7855,0.026572544
6199,0.08013752
13211,0.053732153
10117,0.12381794
1595,0.08061514
16415,0.075223505
2133,0.06839327
15800,0.08247397
12156,0.06472973
2249,0.036607377
8854,0.05472039
12576,0.08593138
7507,0.047475036
13065,0.06476506
13361,0.049477473
15009,0.0401348
8904,0.07455448
13860,0.07887627
1807,0.030638078
10805,0.060925636
8762,0.075223505
5272,0.06472973
15554,0.071936965
7389,0.049151745
13836,0.060369946
15955,0.075223505
2860,0.08061514
9331,0.06825158
11948,0.030056398
16668,0.075223505
592,0.02408719
4116,0.043850783
3900,0.07651661
7854,0.15582949
13809,0.075223505
4439,0.04996185
7093,0.1348023
14650,0.06722367
3731,0.075223505
10204,0.038631823
1210,0.053302176
15804,0.058630113
16263,0.04782051
15579,0.031258434
5171,0.054142978
16759,0.07688856
13707,0.11490199
6337,0.043811556
5810,0.10435298
4401,0.26448235
9495,0.055969402
10911,0.06472973
14911,0.056573987
6333,0.15029408
10762,0.06281555
16871,0.07688856
16431,0.07701095
840,0.106657155
14547,0.13431159
13162,0.032786533
15298,0.0776678
16014,0.07688856
16286,0.06617913
6740,0.11149726
15586,0.1581763
7827,0.15794429
14802,0.11696442
15765,0.041326966
2651,0.027941348
3043,0.0503752
5733,0.053544607
6698,0.06744996
10511,0.14234537
15118,0.06342487
259,0.033921123
15642,0.06790463
16413,0.076327294
629,0.024399731
16233,0.051701058
8870,0.12357057
13554,0.07926346
7210,0.044426564
15697,0.047588993
188,0.061687414
11603,0.064258516
14072,0.03788465
7174,0.030741902
13438,0.086429685
7860,0.03477705
15098,0.12249508
16331,0.08149687
13270,0.026729297
13156,0.04737657
16557,0.07688856
7216,0.1044881
3475,0.0906317
1456,0.07838278
319,0.07688856
3574,0.05474547
15936,0.02918829
9916,0.056044746
15220,0.037133094
7366,0.07887627
6359,0.04541284
10697,0.07803822
3974,0.054176956
15527,0.08061514
10835,0.032822877
15665,0.038948458
15864,0.025508933
17387,0.0749136
220,0.06206028
8809,0.08400465
16048,0.07207158
4257,0.07369521
15661,0.06472973
8768,0.18533924
16747,0.049306896
10000,0.083094746
9759,0.08396273
3262,0.1512522
10352,0.01866492
4271,0.08061514
6002,0.041956794
12873,0.08061514
11166,0.042740013
15156,0.051915187
13704,0.10179935
15434,0.048674565
16209,0.05659089
14497,0.018513992
15160,0.046959285
12460,0.022751914
8329,0.018993188
10531,0.060749855
13091,0.13160542
14998,0.030830598
13946,0.08675815
9040,0.07688856
15847,0.09235706
1325,0.07887627
2737,0.15453891
422,0.048501022
314,0.21637706
13434,0.13854456
1376,0.06744996
13673,0.016632572
2152,0.062467527
380,0.075223505
5457,0.05599193
9948,0.12830718
10437,0.07425064
13815,0.03962826
4522,0.08701969
546,0.07369521
13675,0.05200816
8492,0.06664951
3697,0.047080092
346,0.030496314
16283,0.1501489
3189,0.040817957
486,0.041928876
17343,0.092133656
13718,0.17453913
11254,0.06530384
10364,0.102313295
14793,0.02419883
6814,0.029422041
10242,0.0776678
1935,0.09706101
829,0.022122817
12299,0.0631799
16599,0.0909436
4539,0.0794906
15175,0.075223505
13464,0.05483076
16721,0.07688856
3740,0.076093934
867,0.038658716
1777,0.05363314
14973,0.040258303
10644,0.07756619
12704,0.027419424
16739,0.075223505
1126,0.075223505
10723,0.025397938
14568,0.039600074
9902,0.04356818
1532,0.037785307
6157,0.056488328
9310,0.07369521
5458,0.050908085
11359,0.075223505
1982,0.075223505
3651,0.051523194
1495,0.16073409
6774,0.0776678
3881,0.03735913
2311,0.06839327
10252,0.075223505
2610,0.07532919
16742,0.0298903
17339,0.024912305
1914,0.08142878
12534,0.0721626
4664,0.084036976
276,0.10925618
205,0.07532919
7706,0.08675815
9480,0.05857091
10898,0.06664951
16969,0.070964776
15057,0.06602638
13590,0.083094746
12881,0.02671234
3694,0.075223505
16002,0.12164139
3539,0.048576947
1727,0.075223505
6248,0.075223505
1983,0.089990675
6035,0.08398722
16232,0.059614968
5746,0.04472247
14732,0.07369521
15395,0.0776678
12820,0.022245908
2436,0.076093934
11533,0.020228345
12638,0.06640001
3219,0.027641514
12369,0.07688856
17130,0.057604913
1078,0.046138916
4561,0.061973955
307,0.0753205
3493,0.051141374
10978,0.05506788
8550,0.044452593
13018,0.07209345
15114,0.0327899
4482,0.026681269
4671,0.045249425
16608,0.06791035
1686,0.04921494
10311,0.032637857
8921,0.044807393
15752,0.04002424
10321,0.07688856
2351,0.06472973
3895,0.03801052
6429,0.07369521
2201,0.15432991
17151,0.109617546
15588,0.032846633
8703,0.16723011
8688,0.047588993
15739,0.08772577
7755,0.091370046
13231,0.04931161
8614,0.075223505
14955,0.07688856
13692,0.10468697
17432,0.075223505
6621,0.07688856
934,0.060158063
611,0.028123004
7408,0.0776678
13908,0.0487734
10243,0.05752133
5363,0.16276848
11070,0.026077967
9151,0.08767124
14736,0.05180678
15088,0.06472973
930,0.29444808
15822,0.075223505
1654,0.049969025
11151,0.03797798
2285,0.105982736
4652,0.032356303
10049,0.05374961
4543,0.061961304
12223,0.07887627
2650,0.075223505
11446,0.07949645
9374,0.047600128
15935,0.06263007
10203,0.05590158
16603,0.075223505
11824,0.0776678
15181,0.07369521
12504,0.049417567
8545,0.025794048
16867,0.08142878
16060,0.042552527
8950,0.020613676
2615,0.12207578
14264,0.084138356
10180,0.11744747
16924,0.049776144
9764,0.14849709
16411,0.08270288
9121,0.15932864
15995,0.075223505
12635,0.040067784
11557,0.14140652
16018,0.064313196
16116,0.0900945
15032,0.076093934
9872,0.07532919
13328,0.075223505
1796,0.07532919
13401,0.13151659
3598,0.0873798
8129,0.07822807
15374,0.035074916
13127,0.027825367
3684,0.092063345
2281,0.08181715
9615,0.08078341
2853,0.03016515
7938,0.04227732
3506,0.07688856
15021,0.071045734
3741,0.075223505
13544,0.022864478
4551,0.08061514
3623,0.112215094
10576,0.061671242
14796,0.075223505
5223,0.033908788
16676,0.049777105
11945,0.076093934
2129,0.034547403
2901,0.0635883
17084,0.06676552
5938,0.16006687
2926,0.109778844
11984,0.034873318
5503,0.051322658
11233,0.06744673
8193,0.16525272
4070,0.06617913
4429,0.05107178
6478,0.020102
10198,0.15080371
10670,0.124057315
1152,0.07688856
6960,0.06377463
2592,0.02207833
12011,0.07476775
8298,0.1191911
16657,0.06830186
14540,0.060391046
8775,0.05316409
8656,0.075223505
1205,0.118778944
5917,0.10582581
8163,0.02837871
1711,0.07688856
14082,0.113298096
6203,0.075223505
8549,0.23340143
4548,0.13554664
1104,0.045676284
1400,0.044325925
1712,0.027818007
8796,0.109736405
16151,0.025039747
13838,0.036812633
7574,0.04396823
13107,0.025926476
5378,0.06472973
194,0.075223505
16308,0.031660397
4303,0.12418036
7742,0.1404319
11589,0.06791035
431,0.023012042
1751,0.106657155
13068,0.035688624
986,0.023737757
2946,0.052344132
13974,0.08849681
11315,0.03200363
2810,0.027733464
1311,0.12850256
16931,0.15933254
12298,0.049933497
36,0.113712035
11951,0.053043008
2030,0.056810275
16367,0.057369895
11927,0.07688856
2842,0.07881453
980,0.051528666
4838,0.043601472
13139,0.081320845
11219,0.07967251
4118,0.1611706
2728,0.049912535
13264,0.12171963
5198,0.046323173
11116,0.032673426
5702,0.075223505
7485,0.053871404
16540,0.075223505
10589,0.033481695
14210,0.07887627
10711,0.028879924
8048,0.07821817
6690,0.038338788
13791,0.1157175
11570,0.051358096
4741,0.027374115
10058,0.07756938
16141,0.032656748
2834,0.058235094
3973,0.075223505
17089,0.15396793
7554,0.07356116
1069,0.049157795
4421,0.14070784
12634,0.0776678
5588,0.07887627
5531,0.07253855
7314,0.14889035
10069,0.06789063
6279,0.1311829
10847,0.08078341
9214,0.059043422
4359,0.021817569
11531,0.06358596
6079,0.069803536
1803,0.06708065
1762,0.06664951
7540,0.23314533
3826,0.075223505
1622,0.19277294
6483,0.07887627
11558,0.06325758
5866,0.10268811
4035,0.15273994
7060,0.039070003
10524,0.06632525
903,0.06052539
8892,0.075223505
12826,0.07688856
7803,0.04717358
6161,0.076093934
9046,0.08600193
5747,0.07369521
12637,0.075223505
9446,0.034963362
3126,0.17963213
4060,0.04242465
6711,0.04589671
1303,0.049064703
5520,0.070843756
10182,0.075223505
14411,0.056449167
11957,0.029761368
3767,0.0674163
10518,0.12514848
2437,0.12918064
5351,0.029257238
4547,0.044103697
1701,0.0776678
10797,0.036293942
6701,0.0776678
8632,0.08061514
11599,0.09239438
13731,0.043410517
2752,0.06865631
1413,0.044379372
16403,0.047210284
9285,0.07653641
3183,0.075223505
1200,0.022493027
15417,0.06617913
15997,0.07688856
16212,0.098442696
8779,0.0919568
10092,0.048354123
16198,0.075223505
10455,0.07887627
3430,0.09858162
3020,0.032138336
15543,0.07688856
5693,0.04939952
7459,0.075223505
14637,0.075223505
7768,0.13015962
8215,0.06595533
1036,0.09174546
11128,0.04415071
7282,0.10143966
1271,0.038829263
4389,0.094467424
125,0.02923745
4033,0.07369521
15217,0.08930561
13606,0.06746916
3115,0.055555843
8315,0.075223505
10048,0.054993615
8948,0.04008986
17461,0.05318109
16880,0.06617913
7275,0.028728627
4150,0.11107238
14476,0.08488565
15039,0.15625347
13299,0.038569696
3595,0.07688856
13262,0.066725776
17422,0.025044695
7577,0.057484712
5585,0.036819253
1831,0.020668793
1346,0.07887627
15581,0.07369521
10138,0.0536558
8612,0.07655448
2509,0.087311104
7048,0.026021693
9338,0.0776678
7553,0.0632034
15380,0.08675815
16837,0.1647162
8453,0.045352653
16109,0.036569733
10952,0.055157945
7302,0.057540465
5164,0.039024822
11003,0.07369521
15018,0.1845251
12206,0.0776678
10964,0.05718675
17448,0.07369521
905,0.0327327
10572,0.038596243
15262,0.030347344
12606,0.041507725
13293,0.06839327
7932,0.07926346
16671,0.03842826
11057,0.03729921
16391,0.1468865
6413,0.075223505
10813,0.0776678
67,0.075223505
2857,0.03932329
2127,0.06713481
8675,0.08675815
7770,0.06500253
4238,0.10320927
8428,0.041507725
8444,0.020857254
7367,0.075223505
12231,0.05637735
8755,0.28555816
16121,0.077319026
1817,0.07608028
13788,0.01962183
3986,0.07121657
13970,0.06472973
6812,0.02134109
17143,0.05898865
1188,0.04229368
11733,0.023001205
15671,0.018377356
3087,0.06472973
7988,0.097704954
9260,0.075223505
10910,0.055216435
5288,0.06318591
5971,0.046162017
1333,0.075223505
5720,0.047291547
8655,0.02779253
4025,0.051771622
4997,0.034934156
96,0.12714353
12063,0.13455397
4420,0.07369521
11505,0.035731524
11772,0.072509885
8544,0.06522377
11185,0.03483585
2,0.0646636
8018,0.05941241
178,0.06472973
12742,0.07688856
12886,0.33812174
13834,0.07369521
3409,0.043144576
2002,0.06472973
12138,0.02487692
16436,0.10325933
2966,0.15955414
8878,0.14345685
11320,0.090993516
15529,0.07688856
2191,0.16887711
16673,0.02729108
8635,0.17009431
621,0.021669127
16994,0.03670251
7189,0.075223505
16565,0.048674565
7925,0.18964808
13200,0.020078618
9177,0.029691571
16921,0.048674565
12051,0.045160197
7931,0.059376705
8489,0.057933476
9225,0.09173306
308,0.0529045
1524,0.07655448
16651,0.041470565
16324,0.08675815
14375,0.077270105
1090,0.07887627
1936,0.038433876
10025,0.070524335
4034,0.07497262
7233,0.06472973
7809,0.023784695
10232,0.083094746
3834,0.04564087
12140,0.043334674
13482,0.07887627
1707,0.023678571
117,0.06915112
17232,0.075223505
3561,0.055692546
1486,0.07688856
11473,0.08560742
15376,0.04771973
15348,0.041894086
813,0.03598302
8712,0.07476775
3909,0.08061514
3822,0.04695457
12752,0.069918565
9822,0.06452534
12184,0.019569004
11099,0.055244263
7501,0.075223505
4403,0.056816455
14703,0.07688856
10540,0.069918565
12477,0.20969573
11571,0.11022478
16777,0.10385898
12929,0.075223505
4772,0.07688856
5761,0.07688856
15007,0.03500061
2461,0.079019725
343,0.052377827
2975,0.07894494
12227,0.08776371
15459,0.054589275
5695,0.08078341
14409,0.0263253
2510,0.08078341
16322,0.045864645
6796,0.075223505
13416,0.068520084
8607,0.052945588
12957,0.037710257
15732,0.053337175
12547,0.09112197
191,0.06617913
10924,0.07651422
1877,0.07556302
14941,0.03977179
15584,0.054287884
11361,0.051692747
6364,0.05363171
12358,0.039147682
339,0.07688856
15176,0.03477765
11674,0.094595194
1672,0.06791035
4355,0.07926346
13097,0.01768162
3437,0.06399989
948,0.075223505
10104,0.07688856
2614,0.075223505
740,0.07688856
16597,0.053719837
533,0.04221427
2770,0.075223505
3214,0.06617913
7630,0.03635806
1995,0.05614532
42,0.046658322
1909,0.15757972
14571,0.09897144
12520,0.08930561
4486,0.14167663
2063,0.037852176
8311,0.06472973
2711,0.10916868
1431,0.025535006
8882,0.040196143
8516,0.17082131
12442,0.044415794
16631,0.048098944
5361,0.03861476
2476,0.06602457
4769,0.041512646
10033,0.06844557
4089,0.07688856
4177,0.14552417
1955,0.06574244
6542,0.051731046
15222,0.06766677
7178,0.09611419
2703,0.06962054
16166,0.052361462
11082,0.04438763
11074,0.057290483
14670,0.07068057
17395,0.06577234
13058,0.027193332
11686,0.075223505
5727,0.093967624
13043,0.04397968
2323,0.14292088
9267,0.07688856
735,0.0745141
8606,0.075223505
11796,0.08061514
13684,0.037557546
2688,0.0598855
5258,0.07369521
11626,0.07303752
13373,0.0776678
3040,0.052743044
2314,0.10676074
14890,0.043585293
14105,0.0776678
10603,0.052155927
13303,0.07051127
10810,0.083094746
6540,0.046350755
10288,0.07041353
3208,0.08693763
6474,0.11900693
17105,0.042935003
16791,0.13302669
3842,0.029570574
9563,0.13231073
2137,0.03910852
6152,0.07158421
12255,0.050202005
15428,0.21292384
1323,0.075223505
2447,0.018241096
8287,0.06894546
16404,0.052858338
14259,0.09979576
3235,0.1326548
12317,0.075223505
256,0.05700814
10719,0.045994982
16249,0.12768483
841,0.07688856
8634,0.061102666
10824,0.031128803
2690,0.037768476
6947,0.07688856
10767,0.03334778
11963,0.06858201
5026,0.054841205
10039,0.054727275
6592,0.075223505
1276,0.08675815
2091,0.077933975
7903,0.12673314
3816,0.08809693
14544,0.031610273
12002,0.07887627
10953,0.0505165
6497,0.051406864
13913,0.09317863
7326,0.05571145
3987,0.075223505
7294,0.06755479
10458,0.045085095
11541,0.025633957
13369,0.13336334
4388,0.075223505
1930,0.07041353
8045,0.027492274
9839,0.030077375
16408,0.08217024
8991,0.08016498
3013,0.08340992
12573,0.09737202
6582,0.109011956
16348,0.06664951
5915,0.14919263
3695,0.0329626
10059,0.12548083
2286,0.05781673
13242,0.06363283
7557,0.10385957
1561,0.10522589
13286,0.025568504
9078,0.15222546
2094,0.052303866
4719,0.055653203
1322,0.07369521
16736,0.075223505
12297,0.07658256
1700,0.030478247
7344,0.075223505
14032,0.07887627
11423,0.023555918
83,0.019503864
2312,0.15868561
5437,0.06378132
10946,0.055696957
579,0.06472973
6907,0.116503574
8651,0.039161827
16241,0.025482247
11525,0.026028147
8574,0.084676936
8838,0.10817373
10453,0.09461125
4642,0.044075873
4445,0.05248231
16016,0.19879477
11487,0.19139393
5237,0.021208327
11594,0.075223505
13925,0.026017223
6953,0.026861964
8475,0.02541417
15590,0.044972792
4925,0.04200799
12831,0.07653641
4846,0.06617913
15301,0.06490771
8658,0.0776678
4405,0.08969375
13280,0.10235453
4608,0.07448744
15361,0.05025396
13210,0.033759553
10121,0.04399519
8208,0.0776678
17446,0.038705092
14635,0.06699312
8408,0.07532919
14167,0.04422469
6134,0.07532919
11659,0.033528954
6245,0.22878283
13546,0.072151065
444,0.075223505
5242,0.07369521
7253,0.097399496
14418,0.05632357
2300,0.070339575
7049,0.025812062
9940,0.03700718
15373,0.07926346
16481,0.0631282
10758,0.045301255
10823,0.079019725
6922,0.09362035
3041,0.0776678
9409,0.059502106
1879,0.06839327
3955,0.18945375
3011,0.04163057
6636,0.10679539
8787,0.06531599
15680,0.04583687
10859,0.13923584
6330,0.039560825
326,0.020322278
1525,0.023484644
6970,0.121801786
16955,0.06098694
6663,0.03306379
13771,0.075223505
844,0.075223505
1926,0.037482455
4913,0.040948577
2882,0.022483667
6647,0.08061514
14894,0.050574638
5003,0.041873038
3359,0.050183535
13183,0.17936926
530,0.047427952
9580,0.08270651
13422,0.051666956
17184,0.075223505
15873,0.17410788
15600,0.06617913
15657,0.10571146
14200,0.05477006
10108,0.097375326
988,0.04070941
2963,0.1608347
2648,0.0776678
16208,0.054858837
12381,0.075223505
4465,0.08675815
14720,0.041588683
9072,0.10847255
6909,0.07688856
4176,0.058849208
15842,0.04387918
15023,0.061671242
11717,0.049040947
5732,0.040891923
14971,0.052772958
14626,0.033576272
12955,0.026839802
15977,0.0776678
12068,0.03728155
13374,0.07688856
9739,0.0909436
17330,0.075223505
11368,0.10501854
14498,0.0962789
10398,0.15337782
9291,0.075223505
2163,0.05977596
5681,0.09955025
3328,0.08061514
11973,0.042990763
6552,0.12658365
5410,0.13800503
4948,0.05001825
2131,0.096962266
12754,0.07887627
16227,0.030839374
12424,0.038741462
9685,0.06664951
13317,0.075223505
10713,0.018506618
14018,0.075223505
2699,0.18272567
2292,0.075223505
6412,0.03842573
12124,0.020142265
13514,0.054681756
8989,0.05288046
9129,0.03535515
2185,0.038316026
14708,0.049867533
11025,0.075223505
10737,0.03622728
16374,0.04373532
4764,0.05360685
15317,0.033000346
7963,0.044232853
6350,0.02763056
2100,0.037653152
6674,0.03488031
7123,0.03164234
17383,0.14186437
16001,0.08061514
15634,0.05590158
4514,0.090745516
5030,0.2049628
10087,0.075727716
6559,0.05113144
15251,0.19764656
16120,0.05941055
13163,0.06719558
15893,0.034694366
4249,0.075223505
5657,0.084078744
2435,0.0774807
2115,0.055470467
3229,0.15320703
5993,0.07887627
7682,0.16435502
1779,0.05068557
6811,0.028474653
203,0.054405227
5739,0.21666123
4441,0.071723714
10690,0.04230416
5182,0.14340174
5094,0.056022745
15202,0.04483871
482,0.03207303
10123,0.0492248
158,0.07725796
2395,0.075223505
8320,0.060640212
13999,0.07290229
3548,0.06664951
10610,0.058746967
5872,0.15955414
3169,0.059970606
15168,0.13207926
4787,0.11673265
5462,0.061489556
2944,0.043906108
14030,0.039622787
4811,0.062896065
2827,0.08061514
1132,0.034280542
6761,0.054420892
6251,0.13341105
14813,0.1418594
14398,0.05363171
1430,0.045727182
7025,0.19660917
7836,0.049477473
8204,0.052353986
8057,0.048674565
16521,0.095759735
15525,0.07688856
6930,0.07688856
4889,0.054728627
2497,0.09098922
16274,0.06861728
8414,0.075223505
10746,0.054397758
12502,0.04235046
13327,0.080671065
13865,0.10969695
10688,0.086429685
4556,0.075223505
8648,0.06362553
3980,0.13105342
11362,0.075223505
947,0.04702794
831,0.07369521
10513,0.03149969
7721,0.054082133
2084,0.122175284
13308,0.10631296
5542,0.075223505
1569,0.08675815
6601,0.04690531
13652,0.040075142
9204,0.05470478
15849,0.07369521
15984,0.049969025
14039,0.07688856
10846,0.11024013
4733,0.033665292
7872,0.06472973
6731,0.058857735
9693,0.075223505
12855,0.08557991
14215,0.07369521
16480,0.06606285
7565,0.07937742
7819,0.035075676
12998,0.104300834
5571,0.06210086
7610,0.06664951
8424,0.075223505
16064,0.07926346
4192,0.08144542
9705,0.03777982
6648,0.029677356
15260,0.07926346
4758,0.06139658
3587,0.07197
6272,0.074137986
7460,0.05812414
11554,0.075223505
6597,0.031083703
565,0.09716447
15115,0.07369521
8937,0.02720092
15871,0.047146335
15928,0.031120202
1802,0.04889687
11410,0.062467527
230,0.0776678
11238,0.08846691
14957,0.029437887
5624,0.039406937
8309,0.08061514
8890,0.049343396
10642,0.053803578
14243,0.06005923
12561,0.096941456
17,0.17546414
5269,0.06964392
16718,0.105202906
2890,0.06098694
8642,0.05349623
14191,0.07291697
11305,0.042958364
14407,0.04721296
10112,0.07377888
15486,0.03259006
7908,0.07369521
10163,0.06941305
12267,0.075223505
17386,0.060158063
10306,0.0491831
16,0.16565314
3851,0.0776678
15343,0.07688856
10421,0.10111837
1781,0.075223505
10184,0.09037278
3386,0.08061514
126,0.08061514
3939,0.05442218
7231,0.04997978
462,0.075223505
